market,status,ldate,litho,rprice,ncore,bfreq,tdp,temp
Mobile,End of Interactive Support,,130,,1,2.8,68.4,75
Mobile,End of Interactive Support,,90,,1,3.33,88,75
Mobile,End of Interactive Support,,130,,1,2.5,35,100
Mobile,Launched,2012.25,32,,2,2.4,35,85
Desktop,End of Life,2012.5,32,64,2,2.5,35,65
Mobile,Launched,2012,32,,2,1.4,17,100
Mobile,End of Interactive Support,2010.5,32,,2,2.13,35,90
Mobile,End of Interactive Support,,,,1,0.8,9.8,100
Mobile,End of Interactive Support,,,,1,0.266,10.3,72
Desktop,End of Interactive Support,,,,1,0.166,13.1,65
Desktop,End of Interactive Support,,,,1,0.09,,
Desktop,End of Interactive Support,,,,1,0.2,35,85
Desktop,End of Interactive Support,,,,1,0.45,27.1,90
Desktop,End of Interactive Support,,,,1,0.3,21.5,75
Desktop,End of Interactive Support,2010,32,96,2,2.8,73,72.6
Desktop,End of Interactive Support,2008,45,75,2,2.93,65,74.1
Desktop,End of Interactive Support,2009,45,67,2,2.7,65,74.1
Mobile,End of Interactive Support,,45,,2,2.1,35,105
Desktop,End of Interactive Support,2007.5,65,,2,2,65,73.3
Desktop,End of Interactive Support,,90,,1,2.8,84,67.7
Mobile,End of Interactive Support,2007.25,65,,2,1.86,31,100
Mobile,End of Interactive Support,,90,,1,1.5,7.5,100
Mobile,End of Interactive Support,2003.25,130,,1,1.6,24.5,100
Desktop,End of Interactive Support,,130,,1,1.2,29.9,69
Desktop,End of Interactive Support,2006.5,65,74,2,3,95,63.4
Desktop,End of Interactive Support,2005.25,90,316,2,3,130,69.8
Desktop,End of Interactive Support,2005,90,,1,3.2,84,66.6
Desktop,End of Interactive Support,2005.25,90,,1,2.66,84,67.7
Desktop,End of Interactive Support,2002,130,,1,2.4,59.8,71
Desktop,End of Interactive Support,,180,,1,1.5,57.8,73
Mobile,End of Interactive Support,,180,,1,0.5,16.8,100
Mobile,End of Interactive Support,,130,,1,1.13,21.8,100
Mobile,End of Interactive Support,,130,,1,2.66,66.1,100
Mobile,End of Interactive Support,,130,,1,2.6,35,100
Mobile,End of Interactive Support,,90,,1,3.2,88,75
Mobile,Launched,2012.5,32,,2,1.5,17,100
Mobile,End of Interactive Support,2010.5,32,,2,2,35,90
Mobile,End of Interactive Support,2011,32,,2,1.33,18,105
Desktop,End of Interactive Support,,,,1,0.15,,
Desktop,End of Interactive Support,,,,1,0.15,,
Desktop,End of Interactive Support,,,,1,0.075,,
Desktop,End of Interactive Support,,,,1,0.2,44,80
Desktop,End of Interactive Support,,,,1,0.18,31.7,85
