Vertical Segment,Status,Launch Date,Lithography,Recommended Customer Price,total Cores,total Threads,Processor Base Frequency,TDP,Max Memory Bandwidth,T
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.80 GHz,30 W,,100°C
Desktop,End of Life,Q3'11,32 nm,$75.00 ,2,2,3.00 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,Q3'11,32 nm,$72.00 ,2,2,2.30 GHz,35 W,17 GB/s,65.0°C
Desktop,End of Interactive Support,Q3'10,45 nm,$93.00 ,2,NA,3.33 GHz,65 W,,74.1°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.20 GHz,12 W,,100°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,1.60 GHz,27 W,,100°C
Desktop,End of Interactive Support,,250 nm,N/A,1,NA,600 MHz,34.5 W,,85°C
Desktop,End of Interactive Support,Q1'00,180 nm,N/A,1,NA,600 MHz,19.5 W,,82°C
Desktop,End of Interactive Support,Q2'06,65 nm,$316.00 ,2,NA,3.60 GHz,130 W,,"C1=68.6°C, D0=63.4°C "
Desktop,End of Interactive Support,Q1'04,90 nm,N/A,1,NA,3.20 GHz,103 W,,73.5°C
Desktop,End of Interactive Support,Q4'05,90 nm,N/A,1,NA,3.60 GHz,115 W,,70.8°C
Desktop,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,3.00 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,Q4'04,90 nm,N/A,1,NA,3.06 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,Q1'02,130 nm,N/A,1,NA,2.80 GHz,68.4 W,,70°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,1.80 GHz,68.1 W,,77°C
Mobile,End of Interactive Support,,180 nm,N/A,1,NA,850 MHz,27.5 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,866 MHz,19.5 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.90 GHz,32 W,,100°C
Desktop,End of Life,Q2'12,32 nm,N/A,2,2,2.60 GHz,35 W,21 GB/s,65.0°C
Mobile,Launched,Q2'11,32 nm,N/A,2,2,2.00 GHz,35 W,21.3 GB/s,85 C
